Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
1,0.06,True,619,340,759,335,0.247,False,0,-3.608164862224737,-16.692654435684613,179.8324867076716,Center,Up,False,0.45,0.4,Looking Up
2,0.12,True,619,340,758,335,0.2488,False,0,-3.4522850204403346,-16.616610467705666,179.96832692391615,Center,Up,False,0.465,0.402,Looking Up
3,0.18,True,617,340,758,335,0.2371,False,0,-3.333164842866931,-15.610563342999507,179.68736021694636,Center,Up,False,0.444,0.428,Looking Up
4,0.24,True,617,340,757,336,0.2527,False,0,-3.0343319062679317,-15.568927782293459,179.84580095657358,Center,Up,False,0.442,0.421,Looking Up
5,0.3,True,617,339,757,334,0.2527,False,0,-2.9344095254684124,-15.133561018910553,179.75312921080388,Center,Up,False,0.448,0.447,Looking Up
6,0.36,True,617,339,757,334,0.2381,False,0,-3.685478165357443,-14.662757787553334,179.9300370540638,Center,Up,False,0.452,0.396,Looking Up
7,0.42,True,618,339,758,335,0.2534,False,0,-3.344516051840917,-14.690476758101221,179.88465879608947,Center,Up,False,0.449,0.415,Looking Up
8,0.48,True,619,338,759,333,0.2576,False,0,-3.4085667053422606,-13.992624624930178,-179.99398592892325,Center,Up,False,0.454,0.441,Looking Up
9,0.54,True,622,337,762,332,0.2518,False,0,-3.512391475453945,-14.45105341029813,-179.68130312371764,Center,Up,False,0.45,0.43,Looking Up
10,0.6,True,628,337,767,333,0.2536,False,0,-3.724259811478617,-14.397035362461441,-179.42240821763886,Center,Up,False,0.479,0.474,Looking Up
11,0.66,True,633,336,772,332,0.2428,False,0,-3.6434028165944987,-12.132739139849829,-179.32410350939412,Center,Up,False,0.46,0.454,Looking Up
12,0.72,True,639,334,777,331,0.2354,False,0,-3.3394270883038972,-11.131189661349707,-179.45226366619517,Center,Center,True,0.448,0.455,Focused
13,0.78,True,646,333,782,331,0.2457,False,0,-3.2557858837619533,-10.374106956103763,-179.30512740156908,Center,Center,True,0.463,0.492,Focused
14,0.84,True,652,331,788,332,0.2429,False,0,-3.4305834788650382,-9.33022306029154,-178.65301650241938,Center,Center,True,0.443,0.446,Focused
15,0.9,True,659,331,794,331,0.252,False,0,-3.570627475489608,-7.271787716639493,-178.40294159456323,Center,Center,True,0.457,0.49,Focused
16,0.96,True,666,328,799,331,0.2497,False,0,-3.645113333166137,-6.127853041734417,-177.82638076282186,Center,Center,True,0.456,0.471,Focused
17,1.02,True,672,327,805,331,0.2496,False,0,-4.073070040702728,-5.626598810536857,-177.1576276349485,Center,Center,True,0.445,0.465,Focused
18,1.08,True,678,325,810,329,0.2419,False,0,-4.085772125570351,-3.9950469069186654,-176.9802204075416,Center,Center,True,0.449,0.431,Focused
19,1.14,True,683,324,814,330,0.2495,False,0,-3.8058662184564094,-2.2183507196702372,-176.50225350694046,Center,Center,True,0.452,0.478,Focused
20,1.2,True,689,324,815,333,0.2094,True,1,6.941363541489606,21.64747876668321,4.620676158336171,Center,Down,False,0.477,0.499,Blink
21,1.26,True,695,323,820,333,0.228,False,1,-2.0953839072275686,5.429413219726985,-175.5297272748276,Center,Center,True,0.472,0.495,Focused
22,1.32,True,700,321,824,331,0.2351,False,1,8.384716726065824,21.570620730885686,5.44881515719337,Center,Down,False,0.468,0.486,Looking Down
23,1.38,True,700,316,824,327,0.229,False,1,9.177807288779272,23.97725046592844,6.253379006913459,Center,Down,False,0.465,0.483,Looking Down
24,1.44,True,697,316,822,327,0.2449,False,1,-2.644130613311086,12.007199233729903,-174.6407609528105,Center,Down,False,0.481,0.511,Looking Down
25,1.5,True,691,315,814,325,0.2583,False,1,7.695179670892269,24.07360607602896,5.010410822545861,Center,Down,False,0.492,0.526,Looking Down
26,1.56,True,682,314,807,321,0.267,False,1,7.331532923418203,23.942692205531507,3.74431647526896,Center,Down,False,0.482,0.509,Looking Down
27,1.62,True,678,317,801,320,0.2602,False,1,7.288105338274611,23.285659033960936,2.3648423499375566,Center,Down,False,0.502,0.522,Looking Down
28,1.68,True,673,322,796,324,0.2649,False,1,6.836681320644228,22.666519393496074,1.366090528689754,Center,Down,False,0.499,0.495,Looking Down
29,1.74,True,668,328,791,327,0.2631,False,1,6.135908900214988,22.955866805048462,0.5095755456947442,Center,Down,False,0.523,0.596,Looking Down
30,1.8,True,659,325,787,323,0.2531,False,1,-1.7759520999480645,7.379240588781252,179.84842203546194,Center,Center,True,0.485,0.484,Focused
31,1.86,True,653,326,783,322,0.2631,False,1,-1.3262518570181736,5.119129151059801,179.04871555683823,Center,Center,True,0.49,0.523,Focused
32,1.92,True,642,329,777,325,0.243,False,1,-1.5591242580276217,4.55109820363906,178.83970718576043,Center,Center,True,0.458,0.505,Focused
33,1.98,True,633,331,768,326,0.2622,False,1,-1.5905142785980475,2.9766674493359617,178.40266088059965,Center,Center,True,0.466,0.54,Focused
34,2.04,True,625,331,766,325,0.2585,False,1,-2.331787960559372,-1.911909635297379,178.63975861139588,Center,Center,True,0.456,0.538,Focused
35,2.1,True,616,334,763,327,0.2503,False,1,-2.820939547246443,-8.444755987545465,178.61637345693498,Center,Center,True,0.456,0.494,Focused
36,2.16,True,606,340,760,333,0.2489,False,1,-2.7802305164749606,-12.160729569673483,178.32510688453894,Center,Up,False,0.456,0.475,Looking Up
37,2.22,True,596,348,754,340,0.2263,False,1,-2.6191860128798115,-13.606908044467517,178.09915085101102,Center,Up,False,0.452,0.467,Looking Up
38,2.28,True,585,354,752,346,0.2202,False,1,-2.2684685377979523,-16.89545910127863,178.18727117473898,Center,Up,False,0.45,0.457,Looking Up
39,2.34,True,577,363,747,355,0.1987,True,2,-2.594066871819546,-17.800348717623965,178.5109607137651,Closed,Closed,False,0.449,0.392,Blink
40,2.4,True,574,374,746,367,0.1611,False,2,-2.359017729850764,-18.32371625434086,178.5130656713851,Closed,Closed,False,0.458,0.183,Eyes Closed
41,2.46,True,568,383,750,377,0.1808,False,2,-2.5788213716632846,-18.483214413897166,178.63504454864838,Closed,Closed,False,0.452,0.353,Looking Closed
42,2.52,True,563,385,751,377,0.214,False,2,-1.7413284908113997,-20.511615708136684,178.69108039152746,Center,Up,False,0.443,0.454,Looking Up
43,2.58,True,559,386,749,379,0.2136,False,2,-1.5821903858637747,-21.764912917178574,178.6280284250921,Center,Up,False,0.439,0.465,Looking Up
44,2.64,True,558,386,746,378,0.223,False,2,-1.656617656472593,-21.317374493801577,178.39961283490493,Center,Up,False,0.438,0.461,Looking Up
45,2.7,True,564,379,748,373,0.2164,True,3,-1.616799317347138,-20.425642076779983,178.86352467230415,Center,Up,False,0.454,0.426,Blink
46,2.76,True,567,371,748,366,0.2469,False,3,-1.708911489123155,-19.963409760639536,178.5628290267522,Center,Up,False,0.433,0.399,Looking Up
47,2.82,True,573,365,751,359,0.2473,False,3,-2.0984285713419553,-18.003525143903165,178.99774698183646,Center,Up,False,0.435,0.39,Looking Up
48,2.88,True,580,359,754,354,0.238,False,3,-2.15227972722341,-17.11117320740979,179.296859183653,Center,Up,False,0.41,0.387,Looking Up
49,2.94,True,590,350,757,347,0.241,False,3,-2.1322571261158902,-17.73334218131867,179.48358434552512,Center,Up,False,0.42,0.398,Looking Up
50,3.0,True,601,343,761,340,0.2501,False,3,-2.4003574109505075,-14.751988392528858,-179.8821731213607,Center,Up,False,0.426,0.432,Looking Up
51,3.06,True,612,341,763,338,0.2608,False,3,-2.0480176251747153,-11.630098257278068,-179.71749123807936,Center,Center,True,0.437,0.464,Focused
52,3.12,True,624,342,768,341,0.2464,False,3,-1.9898539528809784,-6.9051638341474435,-179.32310032917007,Center,Center,True,0.429,0.44,Focused
53,3.18,True,636,346,773,345,0.2595,False,3,-2.1156093113427907,-5.846511468785309,-179.62938245821084,Center,Center,True,0.431,0.479,Focused
54,3.24,True,648,348,779,348,0.2567,False,3,-2.125882457893608,-5.188740198810602,-179.81904019197884,Center,Center,True,0.42,0.462,Focused
55,3.299,True,657,350,784,349,0.2479,False,3,-1.9926064927650136,-4.313227169719022,179.73266357404103,Center,Center,True,0.414,0.422,Focused
56,3.359,True,661,351,785,350,0.2572,False,3,-2.241358940475439,-1.0148150890513663,179.64220631066178,Center,Center,True,0.439,0.467,Focused
57,3.419,True,660,353,782,349,0.2507,False,3,-2.9477336912524077,-5.307896068921214,179.22845618013812,Center,Center,True,0.453,0.456,Focused
58,3.479,True,653,359,775,355,0.2285,False,3,-4.932741569462531,-4.674143595182022,178.53424160912473,Center,Center,True,0.453,0.453,Focused
59,3.539,True,641,367,763,362,0.2288,False,3,-1.9654083642171336,12.265789034121996,-1.7620968095614167,Center,Down,False,0.447,0.45,Looking Down
60,3.599,True,629,379,752,368,0.238,False,3,0.8542888415542178,11.703588892665145,-4.1072482501061165,Center,Center,True,0.425,0.481,Focused
61,3.659,True,623,379,747,366,0.242,False,3,1.9819785439547983,15.70817588931209,-6.301181745573198,Center,Down,False,0.456,0.476,Looking Down
