Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
1,0.06,True,651,334,780,323,0.2463,False,0,-4.486202202001686,-0.4330299384216582,177.41183024736142,Center,Center,True,0.455,0.477,Focused
2,0.12,True,652,336,783,327,0.2507,False,0,-3.2980171963335763,-6.501298804975273,177.69469742543504,Center,Center,True,0.45,0.423,Focused
3,0.18,True,654,340,780,335,0.1917,True,1,-2.940392550116066,-7.5001728686588365,178.16313830249146,Closed,Closed,False,0.48,0.382,Blink
4,0.24,True,652,346,782,341,0.184,False,1,-2.9757121630525423,-8.993340505513375,178.14440298320068,Closed,Closed,False,0.483,0.405,Looking Closed
5,0.3,True,650,344,784,338,0.2046,False,1,-3.0286186541386204,-9.626591188099876,177.93604529194883,Center,Center,True,0.459,0.445,Focused
6,0.36,True,650,346,787,340,0.2371,False,1,-2.162604729005484,-13.57571820688848,178.31901251562894,Center,Up,False,0.463,0.487,Looking Up
7,0.42,True,651,347,788,341,0.2248,False,1,-2.509921411276492,-12.155358211361808,178.1959895142081,Center,Up,False,0.451,0.444,Looking Up
8,0.48,True,654,346,792,340,0.2291,False,1,-2.6901105992316467,-15.896223258011016,178.64786618947113,Center,Up,False,0.481,0.462,Looking Up
9,0.54,True,656,344,794,338,0.238,False,1,-2.585961129827249,-15.847961238989507,178.9009089924898,Center,Up,False,0.511,0.531,Looking Up
10,0.6,True,654,341,793,336,0.241,False,1,-2.984831345129133,-14.821620000657736,179.15001150564365,Center,Up,False,0.491,0.455,Looking Up
11,0.66,True,655,342,793,338,0.251,False,1,-2.6626091020767864,-15.201997432607662,178.89977460359472,Center,Up,False,0.51,0.527,Looking Up
12,0.719,True,662,341,796,337,0.2447,False,1,-2.132933267782311,-14.820337711716757,178.69346423122812,Center,Up,False,0.557,0.677,Looking Up
13,0.779,True,665,340,800,336,0.2697,False,1,-2.424321139122703,-16.422526785310726,178.68757435941103,Center,Up,False,0.565,0.675,Looking Up
14,0.839,True,669,339,802,336,0.2619,False,1,-2.2533930057282556,-16.231247025725622,179.2282802183305,Center,Up,False,0.582,0.722,Looking Up
15,0.899,True,669,338,802,335,0.2678,False,1,-2.0335418814734747,-17.635041372222037,179.14428071030258,Center,Up,False,0.575,0.705,Looking Up
16,0.959,True,668,338,803,335,0.2688,False,1,-2.491767198667254,-15.744607691455633,179.01865660926254,Center,Up,False,0.575,0.658,Looking Up
17,1.019,True,669,337,803,335,0.2843,False,1,-1.554132253550199,-15.801924744043154,178.90617737826105,Center,Up,False,0.558,0.622,Looking Up
18,1.079,True,673,339,806,337,0.2904,False,1,-1.1503610174408103,-14.512689421913626,179.10258658824017,Center,Up,False,0.566,0.624,Looking Up
19,1.139,True,675,339,809,337,0.2984,False,1,-1.4457687069354255,-13.860157645759786,179.25340092744858,Center,Up,False,0.543,0.599,Looking Up
20,1.199,True,677,337,810,336,0.2935,False,1,-1.317671747551641,-13.20074401200627,179.40299895180283,Center,Up,False,0.557,0.618,Looking Up
21,1.259,True,676,336,809,335,0.2951,False,1,-1.2692124294119898,-12.895540413274153,179.6277526189741,Center,Up,False,0.541,0.565,Looking Up
22,1.319,True,676,335,810,334,0.3014,False,1,-1.2897039073198926,-12.393061309521954,179.53511558826548,Center,Up,False,0.541,0.576,Looking Up
23,1.379,True,675,335,810,335,0.3001,False,1,-0.8867239995603581,-11.344049106591084,179.4998265694889,Center,Center,True,0.531,0.509,Focused
