Frame,Time,FaceDetected,LeftIrisX,LeftIrisY,RightIrisX,RightIrisY,EAR,Blink,TotalBlinks,Yaw,Pitch,Roll,HorizontalGaze,VerticalGaze,OnScreen,HorizontalRatio,VerticalRatio,AttentionState
1,0.04,True,630.0,291.0,763.0,297.0,0.2564,False,0,-4.514943287979931,-19.415645549324513,-175.4738270826831,Center,Up,False,0.472,0.419,Looking Up
2,0.081,True,632.0,296.0,765.0,301.0,0.2565,False,0,-4.866043739768556,-21.59956375845873,-175.2155356489242,Center,Up,False,0.476,0.479,Looking Up
3,0.121,True,633.0,302.0,765.0,308.0,0.2593,False,0,-4.8477746890175775,-20.616049291199463,-175.50853518993998,Center,Up,False,0.472,0.462,Looking Up
4,0.162,True,633.0,301.0,766.0,307.0,0.2599,False,0,-4.86288026866681,-22.440485560083776,-175.43091906685257,Center,Up,False,0.467,0.435,Looking Up
5,0.202,True,635.0,294.0,768.0,300.0,0.2538,False,0,-4.916093848348111,-22.055710911202922,-175.68301400870374,Center,Up,False,0.477,0.445,Looking Up
6,0.243,True,639.0,297.0,771.0,303.0,0.2663,False,0,-5.61767260597076,-22.603983078896093,-175.00335782399728,Center,Up,False,0.467,0.453,Looking Up
7,0.283,True,643.0,304.0,774.0,310.0,0.2511,False,0,-5.089053183704023,-21.592965666318605,-175.39890251051457,Center,Up,False,0.476,0.478,Looking Up
8,0.323,True,645.0,296.0,777.0,303.0,0.2641,False,0,-4.426343122277658,-22.257403489435372,-175.76268519388205,Center,Up,False,0.471,0.451,Looking Up
9,0.364,True,647.0,294.0,780.0,300.0,0.2609,False,0,-4.18275111709513,-22.06071969974189,-176.22529836814508,Center,Up,False,0.475,0.507,Looking Up
10,0.404,True,649.0,298.0,782.0,303.0,0.2794,False,0,-4.363357429105986,-20.633765462728817,-176.40958212834101,Center,Up,False,0.471,0.471,Looking Up
11,0.445,True,651.0,299.0,783.0,304.0,0.289,False,0,-3.4415146473926095,-22.0916699378949,-176.72736629178465,Center,Up,False,0.46,0.471,Looking Up
12,0.485,True,653.0,291.0,787.0,296.0,0.2927,False,0,-3.101419269085333,-20.9965325538296,-177.20124019236604,Center,Up,False,0.45,0.437,Looking Up
13,0.525,True,659.0,292.0,792.0,297.0,0.2651,False,0,-2.229698228490342,-18.064653561323595,-177.5264345234041,Center,Up,False,0.463,0.467,Looking Up
14,0.566,True,662.0,295.0,795.0,300.0,0.2571,False,0,-2.1558238777944654,-16.016266210619158,-177.28072379527416,Center,Up,False,0.454,0.443,Looking Up
15,0.606,True,664.0,293.0,797.0,299.0,0.2574,False,0,-1.4800190575331469,-15.999723211029742,-177.56813074111423,Center,Up,False,0.448,0.413,Looking Up
16,0.647,True,666.0,289.0,799.0,296.0,0.2563,False,0,-1.2897128701236842,-14.917503379156818,-177.29347433803292,Center,Up,False,0.427,0.406,Looking Up
17,0.687,True,668.0,291.0,801.0,298.0,0.2562,False,0,-1.2446531539840924,-14.734748520181189,-177.1215331100286,Center,Up,False,0.426,0.411,Looking Up
18,0.728,True,670.0,292.0,802.0,299.0,0.2535,False,0,-0.9626208340642632,-14.86771319847909,-177.23696548178114,Center,Up,False,0.434,0.416,Looking Up
19,0.768,True,672.0,290.0,805.0,297.0,0.2597,False,0,-0.25336724032053043,-13.857867800361685,-177.532275683748,Center,Up,False,0.409,0.396,Looking Up
20,0.808,True,676.0,289.0,808.0,296.0,0.2637,False,0,0.25863602735964436,-14.016676076550327,-177.68119490899434,Center,Up,False,0.421,0.39,Looking Up
21,0.849,True,679.0,290.0,811.0,298.0,0.2597,False,0,0.22737474362061177,-13.29386125772958,-177.41527137156254,Center,Up,False,0.424,0.368,Looking Up
22,0.889,True,680.0,289.0,813.0,297.0,0.2584,False,0,0.3925809493525359,-13.538471859628805,-177.42653914489932,Center,Up,False,0.417,0.385,Looking Up
23,0.93,True,681.0,289.0,814.0,296.0,0.2652,False,0,-0.0016196992925881064,-13.376116498863873,-177.2204623919565,Center,Up,False,0.422,0.378,Looking Up
